Name,Price,CustomerReviewText,Availability,Ratings
"Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","₹13,999.00","13,275 ratings",In stock.,4 out of 5
"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","₹20,499.00","18,851 ratings",In stock,4.1 out of 5
"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery","₹7,999.00","305,846 ratings",In stock,4.2 out of 5
"Mobile Phone, Mini Lightweight 5MP Rear Camera Phone Type-C for Work (Black)","₹9,484.00",,Usually dispatched in 10 to 11 days.,
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","₹6,999.00","305,846 ratings",In stock.,4.2 out of 5
"OnePlus 10 Pro 5G (Emerald Forest, 12GB RAM, 256GB Storage)","₹66,999.00","4,721 ratings",In stock,4.2 out of 5
"iQOO 9 Pro 5G (Legend, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 Mobile Processor | 120W FlashCharge","₹57,990.00","1,166 ratings",In stock,4.1 out of 5
"Samsung Galaxy S22 Ultra 5G (Phantom Black, 12GB, 256GB Storage) with No Cost EMI/Additional Exchange Offers","₹1,08,999.00","1,294 ratings",,4.4 out of 5
"OnePlus 10T 5G (Moonstone Black, 8GB RAM, 128GB Storage)","₹44,999.00","2,345 ratings",In stock,4.2 out of 5
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12","₹6,499.00","4,448 ratings",In stock,4 out of 5
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","₹18,999.00","97,659 ratings",In stock,4.3 out of 5
"Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster","₹9,499.00","9,578 ratings",In stock,3.9 out of 5
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","₹18,999.00","97,659 ratings",,4.3 out of 5
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990.00","57,682 ratings",,4.2 out of 5
